ID_Consulta,Tipo_Consulta,Consulta,Respuesta_SAE,Departamento_SAE,Satisfaccion_Cliente,Tiempo_Respuesta_Minutos
1,Académica,¿Cuándo es el próximo periodo de matrículas para el semestre 2025-2?,El próximo periodo de matrículas para el semestre 2025-2 será del 15 al 30 de agosto de 2025.,Secretaría Académica,4,45
2,Académica,¿Hasta cuándo puedo matricularme para el segundo semestre de este año?,La fecha límite para la matrícula del segundo semestre de 2025 es el 30 de agosto de 2025.,Secretaría Académica,5,30
3,Académica,¿Cómo sé las fechas de reincorporación para el 2025-2?,Las fechas de reincorporación para el semestre 2025-2 son del 1 al 10 de agosto de 2025. Debes presentar tu solicitud en el portal del estudiante.,Secretaría Académica,4,60
4,Financiera,¿Cuál es el costo de la matrícula para Ingeniería de Software?,El costo de la matrícula para Ingeniería de Software en el semestre 2025-2 es de S/ 500.00 más la primera cuota de S/ 850.00.,Tesorería,5,25
5,Financiera,¿Dónde puedo ver mi estado de cuenta?,"Puedes consultar tu estado de cuenta en la sección ""Mis Pagos"" dentro del portal del estudiante.",Tesorería,5,10
6,Bienestar,¿Cómo solicito apoyo psicológico?,Puedes solicitar una cita para apoyo psicológico a través del módulo de Bienestar Universitario en el portal. Las atenciones se programan en un máximo de 72 horas hábiles.,Bienestar Universitario,4,90
7,Académica,¿Qué requisitos necesito para tramitar mi certificado de estudios?,Necesitas estar al día en tus pagos y haber completado todos tus cursos. La solicitud se realiza en línea y tiene un costo de S/ 25.00.,Secretaría Académica,5,50
8,Tecnológica,No puedo ingresar al aula virtual con mi usuario y contraseña.,"Verifica que estás utilizando tus credenciales correctas. Si el problema persiste, intenta restablecer tu contraseña o contacta a soporte técnico de la universidad.",Soporte TI,3,75
9,Académica,¿Cuál es la fecha límite para solicitar una baja de curso sin penalidad?,La fecha límite para solicitar la baja de curso sin penalidad para el semestre 2025-1 fue el 15 de abril de 2025.,Secretaría Académica,4,40
10,Financiera,¿Existen facilidades de pago para la matrícula?,"Sí, la UTP ofrece planes de financiamiento y pago en cuotas. Puedes revisar los detalles en la sección de ""Financiamiento"" de la web o contactar a Tesorería.",Tesorería,4,60
11,Académica,¿Cómo puedo saber mi promedio ponderado acumulado?,"Tu promedio ponderado acumulado (PPA) se muestra en tu historial académico, al que puedes acceder desde el portal del estudiante.",Secretaría Académica,5,15
12,Bienestar,¿Qué actividades extracurriculares ofrece la universidad?,"La UTP ofrece diversas actividades deportivas, culturales y talleres. Puedes consultarlas en la sección de ""Vida Universitaria"" del portal o en el área de Bienestar Universitario.",Bienestar Universitario,4,35
13,Académica,¿Cuándo es el último día para entregar la tesis de pregrado?,La fecha límite para la entrega de tesis de pregrado para la promoción actual es el 30 de noviembre de 2025.,Secretaría Académica,5,55
14,Financiera,¿Se puede pagar la matrícula con tarjeta de crédito?,"Sí, puedes pagar tu matrícula con tarjeta de crédito Visa o Mastercard a través del portal de pagos de la universidad.",Tesorería,5,20
15,Académica,¿Cómo solicito una constancia de egreso?,"La constancia de egreso se solicita en línea, una vez que hayas culminado todos los créditos de tu plan de estudios y estés al día con tus pagos.",Secretaría Académica,4,65
16,Tecnológica,Tengo problemas con el correo institucional.,"Asegúrate de que estás ingresando correctamente a tu cuenta. Si no puedes acceder, contacta directamente con el área de soporte de tecnología o revisa los comunicados sobre el servicio.",Soporte TI,3,80
17,Bienestar,¿Hay servicio de beca alimentaria?,"Sí, la universidad cuenta con un programa de beca alimentaria para estudiantes con necesidad económica. Debes postular en las fechas indicadas por Bienestar Universitario.",Bienestar Universitario,4,70
18,Académica,¿Dónde veo mi horario de clases para el próximo semestre?,"Tu horario de clases estará disponible en el portal del estudiante, en la sección ""Mi Horario"", unos días antes del inicio de matrículas.",Secretaría Académica,5,10
19,Financiera,"Necesito un recibo de pago antiguo, ¿cómo lo obtengo?","Puedes descargar recibos de pagos anteriores desde la sección ""Mis Pagos"" en tu portal del estudiante. Si no lo encuentras, contacta a Tesorería con los datos del pago.",Tesorería,4,40
20,Académica,¿Cuál es el procedimiento para solicitar un retiro de ciclo?,"Para solicitar un retiro de ciclo, debes presentar una solicitud formal justificada en Secretaría Académica dentro de las fechas establecidas en el calendario académico.",Secretaría Académica,3,90
21,Académica,¿Cómo me inscribo en los cursos de verano 2026?,"Las inscripciones para los cursos de verano 2026 serán del 1 al 15 de enero de 2026, a través del portal del estudiante.",Secretaría Académica,4,30
22,Financiera,¿Hay descuentos por pronto pago de matrícula?,"Sí, si pagas la matrícula completa antes del 5 de agosto de 2025, obtendrás un 5% de descuento.",Tesorería,5,20
23,Bienestar,¿Dónde encuentro información sobre los talleres de empleabilidad?,"Los talleres de empleabilidad se publican en la sección de ""Bolsa de Trabajo y Empleabilidad"" del portal de Bienestar Universitario.",Bienestar Universitario,4,25
